logicalBlockSize,algorithm,zipLevel,write time,size (bytes),size (GB),size wrt 17 1 0,read time,write time (min),read time (s),size wrt raw,read time (s) (rescaled),read time wrt raw,read time wrt raw (rescaled)
,,,,124577597809,116.02,302.09%,00:00:39.774,,39.774,100.00%,39.774,100.00%,100.00%
12,1,,00:13:36,42938657662,39.99,104.12%,00:00:33.300,14,33.300,34.47%,33.300,83.72%,83.72%
12,2,0,00:32:51,124821003233,116.25,302.68%,00:00:40.643,33,40.643,100.20%,40.643,102.18%,102.18%
12,2,1,00:48:08,23799256762,22.16,57.71%,00:00:40.625,48,40.625,19.10%,40.625,102.14%,102.14%
12,2,2,00:49:07,23653690487,22.03,57.36%,00:00:40.801,49,40.801,18.99%,40.801,102.58%,102.58%
12,2,3,00:52:09,23469757048,21.86,56.91%,00:00:39.055,52,39.055,18.84%,39.055,98.19%,98.19%
12,2,4,00:57:21,22847063491,21.28,55.40%,00:00:41.285,57,41.285,18.34%,41.285,103.80%,103.80%
12,2,5,01:04:24,22632756506,21.08,54.88%,00:00:41.139,64,41.139,18.17%,41.139,103.43%,103.43%
12,2,6,01:24:36,22536389835,20.99,54.65%,00:00:40.945,85,40.945,18.09%,40.945,102.94%,102.94%
12,2,7,01:30:27,22475061586,20.93,54.50%,00:00:40.218,90,40.218,18.04%,40.218,101.12%,101.12%
12,2,8,01:54:41,22419047810,20.88,54.36%,00:00:41.186,115,41.186,18.00%,41.186,103.55%,103.55%
12,2,9,02:04:05,22414353734,20.87,54.35%,00:00:40.756,124,40.756,17.99%,40.756,102.47%,102.47%
13,1,,00:14:55,42142856055,39.25,102.19%,00:00:31.099,15,31.099,33.83%,31.099,78.19%,78.19%
13,2,0,00:27:37,124699346505,116.14,302.39%,00:00:34.213,28,34.213,100.10%,34.213,86.02%,86.02%
13,2,1,00:35:48,22578357300,21.03,54.75%,00:00:38.505,36,38.505,18.12%,38.505,96.81%,96.81%
13,2,2,00:37:07,22416897899,20.88,54.36%,00:00:37.653,37,37.653,17.99%,37.653,94.67%,94.67%
13,2,3,00:41:48,22193482895,20.67,53.82%,00:00:36.400,42,36.400,17.81%,36.400,91.52%,91.52%
